participant_id,viewtime,test_qid,timetaken,answer,stanford_label,stanford_label_idx,stanford_sampleid,image_filename
5,1000,2,3193,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
6,100,2,3461,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
7,1000,2,3669,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
8,100,2,3851,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
9,2500,2,7067,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
10,1000,2,3283,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
11,2500,2,6614,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
12,100,2,3724,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
13,2500,2,10202,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
14,1000,2,5434,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
15,100,2,2955,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
16,2500,2,5851,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
17,2500,2,5372,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
18,2500,2,12298,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
19,1000,2,3918,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
20,2500,2,7350,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
21,100,2,4649,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
22,100,2,2953,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
23,100,2,3010,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
24,100,2,4603,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
25,1000,2,4988,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
26,1000,2,4163,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
27,1000,2,3637,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
28,1000,2,5322,Staffordshire_bullterrier,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
29,100,2,8313,miniature_poodle,Staffordshire_bullterrier,28,5183,../StanfordDogs_Dataset/n02093256-Staffordshire_bullterrier/n02093256_2737.jpg
0,100,3,4144,cairn,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
1,2500,3,7935,cairn,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
2,1000,3,9144,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
3,2500,3,9759,cairn,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
4,2500,3,5689,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
5,1000,3,3553,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
6,100,3,5607,cairn,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
7,1000,3,4574,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
8,100,3,4545,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
9,2500,3,11416,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
10,1000,3,3480,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
11,2500,3,22615,Pekinese,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
12,100,3,3871,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
13,2500,3,12669,cairn,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
14,1000,3,9906,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
15,100,3,3041,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
16,2500,3,5978,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
17,2500,3,9916,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
18,2500,3,48417,cairn,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
19,1000,3,10440,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
20,2500,3,12511,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
21,100,3,3853,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
22,100,3,2931,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
23,100,3,3924,basenji,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
24,100,3,5068,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
25,1000,3,9150,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
26,1000,3,9096,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
27,1000,3,3880,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
28,1000,3,11963,Pekinese,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
29,100,3,7814,Yorkshire_terrier,Yorkshire_terrier,36,6541,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_2115.jpg
0,100,4,2959,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
1,2500,4,8166,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
2,1000,4,5539,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
3,2500,4,5456,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
4,2500,4,5194,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
5,1000,4,3483,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
6,100,4,4698,Pekinese,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
7,1000,4,6175,cairn,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
8,100,4,4637,cairn,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
9,2500,4,6188,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
10,1000,4,3209,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
11,2500,4,12039,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
12,100,4,5264,cairn,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
13,2500,4,7567,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
14,1000,4,7091,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
15,100,4,2845,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
16,2500,4,6558,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
17,2500,4,5421,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
18,2500,4,4956,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
19,1000,4,5713,cairn,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
20,2500,4,7981,cairn,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
21,100,4,5594,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
22,100,4,3066,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
23,100,4,3178,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
24,100,4,4524,cairn,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
25,1000,4,5448,cairn,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
26,1000,4,4678,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
27,1000,4,3985,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
28,1000,4,7757,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
29,100,4,5816,Yorkshire_terrier,Yorkshire_terrier,36,6523,../StanfordDogs_Dataset/n02094433-Yorkshire_terrier/n02094433_1525.jpg
0,100,5,4247,basenji,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
1,2500,5,5924,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
2,1000,5,4456,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
3,2500,5,7711,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
4,2500,5,5039,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
5,1000,5,4826,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
6,100,5,4581,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
7,1000,5,4822,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
8,100,5,3861,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
9,2500,5,5596,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
10,1000,5,2946,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
11,2500,5,11488,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
12,100,5,9322,Border_collie,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
13,2500,5,32434,Border_collie,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
14,1000,5,7730,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
15,100,5,9293,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
16,2500,5,5524,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
17,2500,5,9749,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
18,2500,5,4996,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
19,1000,5,3865,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
20,2500,5,6704,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
21,100,5,3249,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
22,100,5,2996,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
23,100,5,3215,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
24,100,5,4475,Border_collie,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
25,1000,5,4302,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
26,1000,5,4450,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
27,1000,5,20293,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
28,1000,5,6724,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
29,100,5,3523,Eskimo_dog,Eskimo_dog,97,16645,../StanfordDogs_Dataset/n02109961-Eskimo_dog/n02109961_8353.jpg
0,100,6,3219,cairn,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
1,2500,6,6231,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
2,1000,6,5536,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
3,2500,6,6816,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
4,2500,6,6761,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
5,1000,6,3740,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
6,100,6,5402,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
7,1000,6,3604,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
8,100,6,3627,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
9,2500,6,6472,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
10,1000,6,3247,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
11,2500,6,69654,miniature_poodle,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
12,100,6,3701,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
13,2500,6,6796,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
14,1000,6,20522,Border_collie,Border_collie,81,14022,../StanfordDogs_Dataset/n02106166-Border_collie/n02106166_75.jpg
