participant_id,duration,pet_dog,difficulty,features,feedback,prolific_time,PosAffect,NegAffect,ATTC_FOC,ATTC_SHIF
10,279,"Yes, I have a great pyrenees lab mix","Some photos were harder than others, but the time given was enough",Photos that were of puppies of the lighting was not great. ,,1-3 hours,35,17,26,27
11,756,Toy Poodle,"While I understood the limited time, I still enjoyed this task. It not only challenged me on dog breeds, but it also introduced me to new breeds of dogs that I had never seen nor heard of before.",I think I needed time on the last test feature. I think it went by a bit too fast for me to get a better look at the images. ,"Please note: At the beginning of the test, there was a flash at the top of the page, that said: Press F11 for full page or something to that nature, However, when I went to press the F11 key, there was Disqualification message indicating that I had ""left the page"", or something to that nature. Please do not disqualify me, I was not leaving the page, I merely pressed the F11 Key, and it assumed I had left. Thank you so kindly for hearing me out, and thank you for this wonderful opportunity to participate in this study. :) ~Trina G.",1-3 hours,42,25,17,27
13,356,I have a Chihuahua.,I thought it was pretty easy to pick each breed.,I saw a cat and it seemed like there were dogs that didn't have a breed selection to pick.,thank you,Less than 1 hour,46,10,27,36
12,163,"Yes, I've owned a cocker spaniel, toy chihuahua and toy fox terrier",It was a bit difficult to catch the photos in time,The images that flashed too quickly and that were too dark or had too many subjects in the photo ,,4-6 hours,30,19,21,27
14,254,A chihuahua beagle mix,Time was a little limited and some breeds looked very similar to each other.,The pictures that were low lighting and far away needed more time.,,4-6 hours,17,22,23,29
15,293,"yes. yorkshire terrier, cavachon, goldendoodle",amount of images was too many,"images with the dogs far away, another object in the image, etc were hard to decipher",,1-3 hours,31,18,25,23
16,782,"pug, french bulldog",,dog was too small to see clearly/far away,,1-3 hours,22,27,19,20
17,178,Chinese pugs and Siberian huskies ,"The time was pretty limited and the small dogs did not have very distinct characteristics, making them hard to categorize. ",The small dogs,Have a little more variety in the breed.,1-3 hours,30,27,20,23
18,355,Basenji,"It was a simple task but some images weren't a good representation because they either included multiple dog breeds, zoom too far away, etc.","I think I had plenty of time, if anything less time and delay between choosing.","Good task, but seemed like not a lot of work went into it. Random images of cats, multiple breeds, pictures very far away.",More than 10 hours,29,15,25,29
19,374,"Yes, currently own a Cavalier King Charles Spaniel and a Beagle/Pitbull mix",It wasn't difficult at all other than trying to tell the difference between a Yorkshire Terrier and a Cairn.,The ones where the dogs were most black. I really needed more time to inspect it but made my best guess.,There was a cat picture. I couldn't press Cat as that wasn't an option so I think I marked it as a Border Collie.,4-6 hours,15,19,21,31
20,309,previously owned miniature poodle,"not too hard, but some of the pictures were at odd angles or very small.  the pictures with multiple dogs were a little harder.",more time on smaller or oddly angled pictures.,there was a picture of a cat mixed in there.  marked it as poodle since there was no cat option.,4-6 hours,18,21,24,29
22,197,"yes, bull mastiff, pekingese, puggle, american bull dog, pitbull","not too difficult, there was a random cat",,,1-3 hours,35,12,30,36
21,143,no,this wasn't too challenging.,"I needed more time differentiating between the small, similar breeds.",,Less than 1 hour,31,11,35,41
24,268,miniature poodle,learn the races in no time,the images appear for a very short time,nice study,4-6 hours,33,10,30,37
23,224,no,cairns and yorkys are especially difficult to distinguish and images flashes by too fast,yorkys and cairns for sure,no,7-10 hours,21,25,19,20
25,265,"yes, german shepherd","too long, picture went by fast",cairn and yorkshire terrier,,4-6 hours,30,30,22,28
27,313,No,time was too limited on some pictures,I feel like I needed more time on images where the dog's face isn't facing the front,,I do not have a Prolific/MTurk account,25,11,31,33
26,255,A border terrier and an English cocker spaniel,"I have some problems with my visual cognition. Namely, it's hard for me to hold images in my head if I'm no longer looking at them. So I did find the Test Stage a bit difficult, but I did my best! NOTE: One of the images in the Test Stage was broken and didn't display, so I did have to guess on that one!","Images where the dogs were puppies, where the lighting was low, the dogs were far away, or there were multiple dogs in the photos.","Other than the one broken image during the Test Stage, nope!",1-3 hours,40,13,26,22
28,446,"shetland sheepdog, german shepherd",The Cairn and Yorkshire Terrier is too close to be differentiated most of the time and some of the images didn't show the dogs very well.,The Cairns and Yorkies needed more time.,,4-6 hours,29,16,24,26
29,263,,Very easy and fun.,Some images seem like far shot so it was hard to discern the type of dog.,The far shot images should of been up for a couple second more.,1-3 hours,50,10,34,43
